cell_id,projection,treatment,ahp,ap_peak,fr_at_20_percent_input,fr_at_40_percent_input,fr_at_60_percent_input,fr_at_max_input,half_width,i_amp_at_half_max_fr,input_resistance,io_slope,max_firing_rate,peak_to_trough,resting_membrane_potential,rheobase,rise_time,threshold
eebla019.adicht,nonspecific,enriched-environment,7.080702107592813,87.33006212004966,0.0,4.0,12.0,13.0,8.700000000000001,80.0,224.609375,0.32857142857142846,20.0,17.2,-51.5,60.0,6.6000000000000005,-33.92381212004956
eebla020.adicht,nonspecific,enriched-environment,1.031250000000707,78.44201348590593,0.0,8.666666666666666,4.666666666666667,2.0,10.8,50.0,250.78125,0.3000000000000004,10.0,19.900000000000002,-52.0,40.0,8.1,-29.953124999999737
fgbnst-cus-bla001_7_6_21.adicht,bnst,cus,13.133599926048753,76.44299494489448,2.0,14.0,12.0,6.0,6.4,50.0,542.96875,0.3828571428571427,22.0,13.0,-64.0,30.0,5.7,-33.290510944366254
fgbnst-cus-bla002_7_6_21.adicht,bnst,cus,21.730850395888893,74.30119647225919,26.0,22.0,4.0,2.0,10.5,20.0,809.375,0.5799999999999998,34.0,15.9,-56.0,20.0,8.700000000000001,-28.35254570179442
fgbnst-cus-bla003_7_6_21.adicht,bnst,cus,19.482617964838347,84.88303268932415,0.0,8.0,28.0,50.0,8.200000000000001,80.0,286.71875,0.4766666666666667,50.0,12.3,-68.5,60.0,6.300000000000001,-33.57988203516165
fgbnst-cus-bla004_7_6_21.adicht,bnst,cus,14.806154174169922,83.45101168231083,0.0,26.0,34.0,4.0,10.200000000000001,50.0,405.46875,0.6000000000000001,36.0,15.100000000000001,-59.5,40.0,8.3,-31.326011682310796
fgbnst-cus-bla005_7_6_21.adicht,bnst,cus,22.028094590512136,74.0465915356601,0.0,16.0,38.0,56.0,9.700000000000001,70.0,415.625,0.5533333333333332,56.0,15.100000000000001,-67.0,50.0,7.6000000000000005,-27.108236967193864
fgbnst-cus-bla006_7_9_21.adicht,bnst,cus,22.33362107444659,69.64965370272985,0.0,12.0,22.0,32.0,9.5,70.0,414.84375,0.27999999999999997,32.0,15.0,-65.5,50.0,8.0,-29.060801609778814
fgbnst-cus-bla007_7_9_21.adicht,bnst,cus,21.807134336658372,72.58915618173485,0.0,0.0,24.0,38.0,7.9,80.0,370.3125,0.34857142857142837,38.0,13.5,-65.0,80.0,7.4,-30.214156181734907
fgbnst-cus-bla008_7_9_21.adicht,bnst,cus,35.947264888023355,93.67571756298462,0.0,14.0,24.0,26.0,10.0,70.0,562.5,0.32333333333333325,34.0,15.3,-62.5,40.0,9.3,-33.48821756298466
fgbnst-cus-bla009_7_9_21.adicht,bnst,cus,6.086941920936589,78.89029442365612,,,,,14.0,,644.53125,,,19.900000000000002,-58.5,,12.5,-35.11080826015578
fgbnst-cus-bla010_7_9_21.adicht,bnst,cus,24.276978442439216,86.15801679832883,16.0,28.0,34.0,6.0,8.9,40.0,,0.33212121212121215,38.0,15.200000000000001,-52.5,10.0,7.9,-34.52625261085095
fgbnst-cus-bla011_7_9_21.adicht,bnst,cus,21.209489991369963,102.53977199295474,,,,,7.2,,114.0625,,,12.100000000000001,-63.9,,5.5,-32.97801000863002
fgnacc-cus-bla001_6_29_21.adicht,nacc,cus,25.586963622961683,93.05438109764606,0.0,8.0,18.0,32.0,6.2,80.0,281.25,0.296969696969697,32.0,9.4,-66.0,50.0,5.300000000000001,-37.33563109764598
fgnacc-cus-bla002_6_29_21.adicht,nacc,cus,4.607529569625015,90.12342595789858,,,,,7.2,,201.5625,,,15.5,-71.5,,5.2,-32.521008463548455
fgnacc-cus-bla003_6_29_21.adicht,nacc,cus,17.175764521334123,97.2164944650709,0.0,20.0,34.0,48.0,6.0,70.0,316.40625,0.4733333333333334,48.0,10.600000000000001,-68.5,40.0,4.4,-36.20086946507082
fgnacc-cus-bla004_6_30_21.adicht,nacc,cus,23.73719334059447,86.19560081111932,0.0,0.0,2.0,12.0,8.5,110.0,307.421875,0.1828571428571429,12.0,13.100000000000001,-75.0,90.0,7.2,-30.398725811119224
fgnacc-cus-bla005_6_30_21.adicht,nacc,cus,27.21616898483031,89.73225592836462,0.0,8.0,14.0,26.0,7.0,80.0,357.03125,0.20000000000000004,26.0,10.5,-64.0,50.0,5.800000000000001,-36.620854378575714
fgnacc-cus-bla006_6_30_21.adicht,nacc,cus,19.398593088660355,96.6179270821555,0.0,10.0,20.0,38.0,8.1,80.0,533.59375,0.30909090909090914,38.0,14.9,-74.0,50.0,6.4,-36.38466420644932
fgnacc-cus-bla007_7_1_21.adicht,nacc,cus,23.669114213662706,72.69996010116463,0.0,0.0,6.0,20.0,8.5,100.0,421.09375,0.24523809523809528,20.0,12.8,-70.0,80.0,7.0,-22.46108194325757
fgnacc-cus-bla009_7_1_21.adicht,nacc,cus,34.39300641143635,92.08185981082144,,,,,6.300000000000001,,264.84375,,,10.200000000000001,-71.3,,5.6000000000000005,-46.265747286853475
fgnacc-cus-bla010b_7_1_21.adicht,nacc,cus,,,,,,,,,151.5625,,,,-68.5,,,
